"NOMBRE","TIPO","DIRECCION","CLAUSURADO","ACTA","origin","DIRECCION.CLEAN","regexp","calle","numero"
NA,NA,"Av. Pueyrredón, Anchorena, Bartolomé Mitre, JD. Perón- PB. Y EP.",NA,"4-288418","D1","av pueyrredon anchorena bartolome mitre jd peron- pb y ep","","av pueyrredon anchorena bartolome mitre jd peron- pb y ep","av pueyrredon anchorena bartolome mitre jd peron- pb y ep"
NA,NA,"Benito Perez Galdos S/N lindero a N° 127 y Caboto S/N entre N° 571, 559 PB/PA,",NA,"4-303689,4-315307","D1","benito perez galdos s/n lindero a 127 y caboto s/n entre 571 559 pb/pa","","benito perez galdos s/n lindero a 127 y caboto s/n entre 571 559 pb/pa","benito perez galdos s/n lindero a 127 y caboto s/n entre 571 559 pb/pa"
NA,NA,"Av. Martín García (Isabel La Católica 2/4/6, Y OTRAS",NA,"4-315912","D1","av martin garcia (isabel la catolica 2/4/6 y otras","","av martin garcia (isabel la catolica 2/4/6 y otras","av martin garcia (isabel la catolica 2/4/6 y otras"
NA,NA,"Colonia (Luna 482/492) N° 469, planta baja",NA,"","D1","colonia (luna 482/492) 469 planta baja","","colonia (luna 482/492) 469 planta baja","colonia (luna 482/492) 469 planta baja"
NA,NA,"Sarmiento S/N entre chapas catastrales N° 4006 y N° 4034, PB, SS y EP",NA,"4-100833,4-157742,4-157741,4-157740,4-157743","D1","sarmiento s/n entre chapas catastrales 4006 y 4034 pb ss y ep","","sarmiento s/n entre chapas catastrales 4006 y 4034 pb ss y ep","sarmiento s/n entre chapas catastrales 4006 y 4034 pb ss y ep"
NA,NA,"Sarmiento y Av. Casares S/N,.",NA,"4-242045","D1","sarmiento y av casares s/n","","sarmiento y av casares s/n","sarmiento y av casares s/n"
NA,NA,"AV. Cnel. Esteban Bonorino Nº (Manzana) 24 Casa 8 PB/1º A 4ºp az",NA,"4-323208,4-348631,4-323209","D1","av cnel esteban bonorino no (manzana) 24 casa 8 pb/1o a 4op az","","av cnel esteban bonorino no (manzana) 24 casa 8 pb/1o a 4op az","av cnel esteban bonorino no (manzana) 24 casa 8 pb/1o a 4op az"
NA,NA,"Av. General Paz –colectora- N° 10836, planta baja y 1º piso.,",NA,"4-347231","D1","av general paz -colectora- 10836 planta baja y 1o piso","","av general paz -colectora- 10836 planta baja y 1o piso","av general paz -colectora- 10836 planta baja y 1o piso"
NA,NA,"AV. Avellaneda –altura 1400- PB., e/Nicasio Oroño y Juan José Biedma p/baldio cria 13",NA,"4-349877,4-349878","D1","av avellaneda -altura 1400- pb e/nicasio orono y juan jose biedma p/baldio cria 13","","av avellaneda -altura 1400- pb e/nicasio orono y juan jose biedma p/baldio cria 13","av avellaneda -altura 1400- pb e/nicasio orono y juan jose biedma p/baldio cria 13"
NA,NA,"PJE. VALLE (altura Argerich 59) Nº 3 PISO 3º Y 4º",NA,"4-361060","D1","pje valle (altura argerich 59) no 3 piso 3o y 4o","","pje valle (altura argerich 59) no 3 piso 3o y 4o","pje valle (altura argerich 59) no 3 piso 3o y 4o"
