"NOMBRE","TIPO","DIRECCION","CLAUSURADO","ACTA","origin","DIRECCION.CLEAN","regexp","calle","numero"
NA,NA,"Junín 547, planta baja.",NA,"4-303032,4-303031","D1","junin 547 planta baja","^([a-z ]*)([0-9]+)","junin  planta baja","547 planta baja"
NA,NA,"AV. Rivadavia N° 7485 PB",NA,"4-301091","D1","av rivadavia 7485 pb","^([a-z ]*)([0-9]+)","av rivadavia  pb","7485 pb"
NA,NA,"Bolivar 1802 PB",NA,"4-303926","D1","bolivar 1802 pb","^([a-z ]*)([0-9]+)","bolivar  pb","1802 pb"
NA,NA,"AV. General Paz Nº 10650 e/10652 y 10654 PB. local 17",NA,"4-288823","D1","av general paz no 10650 e/10652 y 10654 pb local 17","^([a-z ]*)([0-9]+)","av general paz no  e/10652 y 10654 pb local 17","10650 e/10652 y 10654 pb local 17"
NA,NA,"Av. Corrientes 3661, PB, UF 6",NA,"4-289916","D1","av corrientes 3661 pb uf 6","^([a-z ]*)([0-9]+)","av corrientes  pb uf 6","3661 pb uf 6"
NA,NA,"Valentín Gómez N° 3140 PB., EP., 1º, 2º y 3º piso",NA,"4-301723,4-302361,4-301724,4-301720,4-301722","D1","valentin gomez 3140 pb ep 1o 2o y 3o piso","^([a-z ]*)([0-9]+)","valentin gomez  pb ep 1o 2o y 3o piso","3140 pb ep 1o 2o y 3o piso"
NA,NA,"Vera Peñaloza N° 41, PB /Alicia Moreau de Justo 1700",NA,"4-302488,4-302489","D1","vera penaloza 41 pb /alicia moreau de justo 1700","^([a-z ]*)([0-9]+)","vera penaloza  pb /alicia moreau de justo 1700","41 pb /alicia moreau de justo 1700"
NA,NA,"Combate De Los Pozos N° 1089/Humberto 1° N° 1901 PB",NA,"4-289086","D1","combate de los pozos 1089/humberto 1 1901 pb","^([a-z ]*)([0-9]+)","combate de los pozos /humberto 1 1901 pb","1089/humberto 1 1901 pb"
NA,NA,"Ventura Bosch N° 7147 PB, PA",NA,"4-301964,4-288824","D1","ventura bosch 7147 pb pa","^([a-z ]*)([0-9]+)","ventura bosch  pb pa","7147 pb pa"
NA,NA,"AV. Díaz Vélez N° 5540 PB",NA,"4-242450","D1","av diaz velez 5540 pb","^([a-z ]*)([0-9]+)","av diaz velez  pb","5540 pb"
NA,NA,"PTE. José Evaristo Uriburu Nº 578 3º piso -unidad funcional Nº 14",NA,"4-288825,4-301365","D1","pte jose evaristo uriburu no 578 3o piso -unidad funcional no 14","^([a-z ]*)([0-9]+)","pte jose evaristo uriburu no  3o piso -unidad funcional no 14","578 3o piso -unidad funcional no 14"
NA,NA,"Pres. José E. Uriburu N° 578 PISO 3° DPTO. 16",NA,"4-303976","D1","pres jose e uriburu 578 piso 3 dpto 16","^([a-z ]*)([0-9]+)","pres jose e uriburu  piso 3 dpto 16","578 piso 3 dpto 16"
