NOMBRE	TIPO	DIRECCION	CLAUSURADO	ACTA
		Junín 547, planta baja.		4-303032,4-303031
		AV. Rivadavia N° 7485 PB		4-301091
		Bolivar 1802 PB		4-303926
		AV. General Paz Nº 10650 e/10652 y 10654 PB. local 17		4-288823
		Av. Corrientes 3661, PB, UF 6		4-289916
		Valentín Gómez N° 3140 PB., EP., 1º, 2º y 3º piso		4-301723,4-302361,4-301724,4-301720,4-301722
		Vera Peñaloza N° 41, PB /Alicia Moreau de Justo 1700		4-302488,4-302489
		Combate De Los Pozos N° 1089/Humberto 1° N° 1901 PB		4-289086
		Ventura Bosch N° 7147 PB, PA		4-301964,4-288824
		AV. Díaz Vélez N° 5540 PB		4-242450
		PTE. José Evaristo Uriburu Nº 578 3º piso -unidad funcional Nº 14		4-288825,4-301365
		Pres. José E. Uriburu N° 578 PISO 3° DPTO. 16		4-303976
		Sayos N° 5865 PB y 1° piso		4-303655
		José Ángel Cabrera N° 4223 PB		4-243605
		Av. Santa Fé N° 2399 PB/SS/EP		4-301094
		Andres Lamas 1108, 1° piso		4-242039,4-242040,4-287160,4-242038
		Pringles N° 1390		4-266264
		Perú N° 81/85 PB y Sótano, UF N° 1		4-289873
		Av. Rivadavia N° 10995 PB., SS. y EP		4-274798
		Reconquista N° 701 y Viamonte N° 389 SS/PB/EP		4-48892.4-48889,4-48890,4-48891
		Perú N° 441/47 PB., 1° SS. y 2° SS		4-289874
		AV. Cabildo Nº 4744 PB. y EP		4-274695
		Lafuente 880/94 PB y PA (Baldomero F. Moreno 3065/99)		4-302836,4-301523
		Armenia 1946/54 ST/PB/1º/EP/2° piso		4-288557
		AV. Cabildo Nº 2880 1º piso y EP		4-303082,4-303083
		Tucuman 2362, PB, EP y SS, Dpto “A”		4-301321,4-301322,4-301323,4-301320,4-301324
		Paysandú N° 1816 PB		4-289018,4-289019
		Av. Escalada 1496, PB. –frente		4-301474
		Defensa N° 502/504 SÓTANO/PB		4-242042
		Castillo N° 1500 PB		4-289875
		Av. Jujuy 453 PB y EP		4-313126
		Camargo N° 851 PB		4-288416
		Av. Cabildo 4712 PB y 1° piso		4-239759,4-288188,4-288189
		Carlos Calvo N° 375 PB/PA		4-242043
		Posadas N° 1086 PB		4-273025
		Av. Corrientes 4981 PB y Sótano		4-288558
		Av. Cnel Ramón L. Falcón N° 1681 PB		4-303826
		AV. Rivadavia 8535, PB, 1° y 2° piso		4-274697,4-274696
		Rio Cuarto 4054, PB.		4-302380,4-302381
		Valentín Gómez N° 3244/46 PB/EP/PA		4-303035,4-303036,4-301748,4-303034,4-301750,4-301749
		Av. Monroe N° 5364/70/72 PB, 1° y 2° piso		4-301498,4-287770
		Delgado N° 550 PB., 1º y 2º piso		4-303245,4-303246,4-303250,4-303248,4-303249,4-303247
		Fonrouge 569 (Fondo) PB. y EP		4-302585,4-302584
		Bahía Blanca Nº 1491, PB		4-289047,4-289048
		Neuquén N° 2786/88 PB/EP/1° A 3° PISO		4-301525,4-302839,4-302840
		Cervantes 653, PB y PA, UF 1		4-303827
		Doblas 1373 PB		4-302271,4-302270,4-302269
