"NOMBRE","ACTIVIDAD","DIRECCION","X","X.1","origin","DIRECCION.CLEAN","regexp","calle","numero"
"BIBLIOTECA JAVIER VILLAFAÑE (CON ANEXO INFANTIL)","BIBLIOTECA","JANER, ANA MARIA Y TORRES Y TENORIO, PRES.",NA,NA,"D2","janer ana maria y torres y tenorio pres","","janer ana maria y torres y tenorio pres","janer ana maria y torres y tenorio pres"
"BIBLIOTECA NORAH LANGE","BIBLIOTECA","FERNANDEZ DE LA CRUZ, F., GRAL. AV. Y ESCALADA AV.",NA,NA,"D2","fernandez de la cruz f gral av y escalada av","","fernandez de la cruz f gral av y escalada av","fernandez de la cruz f gral av y escalada av"
"CENTRO CULTURAL NUESTRA TIERRA","CENTRO CULTURAL","IRIARTE, GRAL. AV. Y MONTESQUIEU",NA,NA,"D2","iriarte gral av y montesquieu","","iriarte gral av y montesquieu","iriarte gral av y montesquieu"
"COMPLEJO CULTURAL CHACRA DE LOS REMEDIOS","CENTRO CULTURAL","DIRECTORIO AV. Y LACARRA",NA,NA,"D2","directorio av y lacarra","","directorio av y lacarra","directorio av y lacarra"
"USINA DEL ARTE","CENTRO CULTURAL","DON PEDRO DE MENDOZA AV. Y CAFFARENA, AGUSTIN R.",NA,NA,"D2","don pedro de mendoza av y caffarena agustin r","","don pedro de mendoza av y caffarena agustin r","don pedro de mendoza av y caffarena agustin r"
"CENTRO CULTURAL BARRIO RIVADAVIA","CENTRO CULTURAL","COBO AV. Y CURAPALIGUE",NA,NA,"D2","cobo av y curapaligue","","cobo av y curapaligue","cobo av y curapaligue"
"POLO CIRCO","CIRCO","COMBATE DE LOS POZOS Y GARAY, JUAN DE AV.",NA,NA,"D2","combate de los pozos y garay juan de av","","combate de los pozos y garay juan de av","combate de los pozos y garay juan de av"
"AUDITORIO EVA PERON - PARQUE CENTENARIO","ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)","PATRICIAS ARGENTINAS AV. Y LILLO AV.",NA,NA,"D2","patricias argentinas av y lillo av","","patricias argentinas av y lillo av","patricias argentinas av y lillo av"
"CENTRO DE MUSEOS DE BUENOS AIRES (DIRECCION GENERAL DE MUSEOS)","MUSEO","DE LOS ITALIANOS AV. Y VILLAFLOR, AZUCENA",NA,NA,"D2","de los italianos av y villaflor azucena","","de los italianos av y villaflor azucena","de los italianos av y villaflor azucena"
"MUSEO DEL HUMOR (MUHU)","MUSEO","DE LOS ITALIANOS AV. Y VILLAFLOR, AZUCENA",NA,NA,"D2","de los italianos av y villaflor azucena","","de los italianos av y villaflor azucena","de los italianos av y villaflor azucena"
"PLANETARIO DE LA CIUDAD DE BUENOS AIRES ""GALILEO GALILEI""","PLANETARIO","SARMIENTO AV. Y ROLDAN, BELISARIO AV.",NA,NA,"D2","sarmiento av y roldan belisario av","","sarmiento av y roldan belisario av","sarmiento av y roldan belisario av"
"AMERICAN BAR","BAR NOTABLE","SAENZ PE�A, ROQUE, PRES. AV. 632",NA,NA,"D2",NA,"",NA,NA
"GRUPO DE TEATRO COMUNITARIO POMPAPETRIYASS DE PARQUE PATRICIOS","ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)","LUCA, ESTEBAN DE Y BRASIL",NA,NA,"D2","luca esteban de y brasil","","luca esteban de y brasil","luca esteban de y brasil"
"GRUPO DE TEATRO COMUNITARIO RES O NO RES","ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)","DIRECTORIO AV. Y DE LA TORRE, LISANDRO AV.",NA,NA,"D2","directorio av y de la torre lisandro av","","directorio av y de la torre lisandro av","directorio av y de la torre lisandro av"
"TEATRO DEL PUEBLO","ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)","SAENZ PE�A, ROQUE, PRES. AV. 943",NA,NA,"D2",NA,"",NA,NA
"TEATRO EL VITRAL","ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)","RODRIGUEZ PE�A 344",NA,NA,"D2",NA,"",NA,NA
"GALERIA DE ARTE ADRIANA INDIK","GALERIA DE ARTE","RODRIGUEZ PE�A 2067",NA,NA,"D2",NA,"",NA,NA
"INSTITUTO NACIONAL SAN MARTINIANO","BIBLIOTECA","CASTILLA, RAMON, MARISCAL Y AGUADO, ALEJANDRO M. DE",NA,NA,"D2","castilla ramon mariscal y aguado alejandro m de","","castilla ramon mariscal y aguado alejandro m de","castilla ramon mariscal y aguado alejandro m de"
"BIBLIOTECA DEL ALMA MATER STUDIORUM UNIVERSIDAD DI BOLOGNA","BIBLIOTECA","RODRIGUEZ PE�A 1464",NA,NA,"D2",NA,"",NA,NA
"BIBLIOTECA DE DEFENSA ""GENERALA JUANA AZURDUY""","BIBLIOTECA","AZOPARDO Y MORENO",NA,NA,"D2","azopardo y moreno","","azopardo y moreno","azopardo y moreno"
"GRUPO DE TEATRO ALMA MATE DE FEORES","ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)","NAZCA AV. Y NEUQUEN",NA,NA,"D2","nazca av y neuquen","","nazca av y neuquen","nazca av y neuquen"
"CASA DEL NIÑO Y EL ADOLESCENTE","ESPACIO DE FORMACION (CARRERAS, SEMINARIOS Y TALLERES)","JANER, ANA MARIA Y VEDIA, AGUSTIN DE",NA,NA,"D2","janer ana maria y vedia agustin de","","janer ana maria y vedia agustin de","janer ana maria y vedia agustin de"
"EDICIONES CORREGIDOR","EDITORIAL","RODRIGUEZ PE�A 452",NA,NA,"D2",NA,"",NA,NA
"LA RADIO DE LAS MADRES AM 530","RADIO LOCAL (AM Y FM)","SAENZ PE�A, LUIS, PRES. 210",NA,NA,"D2",NA,"",NA,NA
"BRUJAS","LIBRERIA","RODRIGUEZ PE�A 429",NA,NA,"D2",NA,"",NA,NA
"CINE ARTEPLEX CENTRO","CINE","SAENZ PE�A, ROQUE, PRES. AV. 1150",NA,NA,"D2",NA,"",NA,NA
