"NOMBRE","ACTIVIDAD","DIRECCION","X","X.1","origin","DIRECCION.CLEAN","regexp","calle","numero"
"CASA DEL HISTORIADOR - ARCHIVO HISTORICO DE LA CIUDAD DE BUENOS AIRES","ARCHIVO","BOLIVAR 466",NA,NA,"D2","bolivar 466","^([a-z ]*)([0-9]+)","bolivar","466"
"ESPACIO VIRREY LINIERS","ARCHIVO","VENEZUELA 469",NA,NA,"D2","venezuela 469","^([a-z ]*)([0-9]+)","venezuela","469"
"BIBLIOTECA  CANONIGO LUIS JOSE DE CHORROARIN","BIBLIOTECA","SOLDADO DE LA FRONTERA AV. 5059",NA,NA,"D2","soldado de la frontera av 5059","^([a-z ]*)([0-9]+)","soldado de la frontera av","5059"
"BIBLIOTECA ALFONSINA STORNI","BIBLIOTECA","VENEZUELA 1538",NA,NA,"D2","venezuela 1538","^([a-z ]*)([0-9]+)","venezuela","1538"
"BIBLIOTECA ALVARO YUNQUE","BIBLIOTECA","SOLDADO DE LA FRONTERA AV. 5210",NA,NA,"D2","soldado de la frontera av 5210","^([a-z ]*)([0-9]+)","soldado de la frontera av","5210"
"BIBLIOTECA ANTONIO DEVOTO (CON ANEXO INFANTIL)","BIBLIOTECA","BAHIA BLANCA 4025",NA,NA,"D2","bahia blanca 4025","^([a-z ]*)([0-9]+)","bahia blanca","4025"
"BIBLIOTECA BALDOMERO FERNANDEZ MORENO","BIBLIOTECA","ARENAL, CONCEPCION 4206",NA,NA,"D2","arenal concepcion 4206","^([a-z ]*)([0-9]+)","arenal concepcion","4206"
"BIBLIOTECA BENITO LYNCH (CON ANEXO INFANTIL)","BIBLIOTECA","YRUPE 6714",NA,NA,"D2","yrupe 6714","^([a-z ]*)([0-9]+)","yrupe","6714"
"BIBLIOTECA BRIGADIER GENERAL CORNELIO SAAVEDRA","BIBLIOTECA","LARRALDE, CRISOLOGO AV. 6293",NA,NA,"D2","larralde crisologo av 6293","^([a-z ]*)([0-9]+)","larralde crisologo av","6293"
"BIBLIOTECA CARLOS GUIDO Y SPANO","BIBLIOTECA","GUEMES 4601",NA,NA,"D2","guemes 4601","^([a-z ]*)([0-9]+)","guemes","4601"
"BIBLIOTECA CIRCE - BIBLIOTECA TESORO","BIBLIOTECA","CORDOBA AV. 1558",NA,NA,"D2","cordoba av 1558","^([a-z ]*)([0-9]+)","cordoba av","1558"
"BIBLIOTECA ENRIQUE BANCHS (INFANTO JUVENIL)","BIBLIOTECA","CASEROS AV. 3100",NA,NA,"D2","caseros av 3100","^([a-z ]*)([0-9]+)","caseros av","3100"
"BIBLIOTECA ESTANISLAO DEL CAMPO","BIBLIOTECA","DE LAS ARTES 1210",NA,NA,"D2","de las artes 1210","^([a-z ]*)([0-9]+)","de las artes","1210"
"BIBLIOTECA EVARISTO CARRIEGO","BIBLIOTECA","HONDURAS 3784",NA,NA,"D2","honduras 3784","^([a-z ]*)([0-9]+)","honduras","3784"
"BIBLIOTECA HILARIO ASCASUBI","BIBLIOTECA","DIAZ, CESAR, GRAL. 4219",NA,NA,"D2","diaz cesar gral 4219","^([a-z ]*)([0-9]+)","diaz cesar gral","4219"
"BIBLIOTECA JAVIER VILLAFAÑE (CON ANEXO INFANTIL)","BIBLIOTECA","JANER, ANA MARIA Y TORRES Y TENORIO, PRES.",NA,NA,"D2","janer ana maria y torres y tenorio pres","","janer ana maria y torres y tenorio pres","janer ana maria y torres y tenorio pres"
"BIBLIOTECA JOAQUIN V. GONZALEZ (CON ANEXO INFANTIL)","BIBLIOTECA","SUAREZ 408",NA,NA,"D2","suarez 408","^([a-z ]*)([0-9]+)","suarez","408"
"BIBLIOTECA JOSE HERNANDEZ","BIBLIOTECA","BOQUERON 6753",NA,NA,"D2","boqueron 6753","^([a-z ]*)([0-9]+)","boqueron","6753"
"BIBLIOTECA JOSE MARMOL","BIBLIOTECA","JURAMENTO 2937",NA,NA,"D2","juramento 2937","^([a-z ]*)([0-9]+)","juramento","2937"
