NOMBRE	ACTIVIDAD	DIRECCION		
CASA DEL HISTORIADOR - ARCHIVO HISTORICO DE LA CIUDAD DE BUENOS AIRES	ARCHIVO	BOLIVAR 466		
ESPACIO VIRREY LINIERS	ARCHIVO	VENEZUELA 469		
BIBLIOTECA  CANONIGO LUIS JOSE DE CHORROARIN	BIBLIOTECA	SOLDADO DE LA FRONTERA AV. 5059		
BIBLIOTECA ALFONSINA STORNI	BIBLIOTECA	VENEZUELA 1538		
BIBLIOTECA ALVARO YUNQUE	BIBLIOTECA	SOLDADO DE LA FRONTERA AV. 5210		
BIBLIOTECA ANTONIO DEVOTO (CON ANEXO INFANTIL)	BIBLIOTECA	BAHIA BLANCA 4025		
BIBLIOTECA BALDOMERO FERNANDEZ MORENO	BIBLIOTECA	ARENAL, CONCEPCION 4206		
BIBLIOTECA BENITO LYNCH (CON ANEXO INFANTIL)	BIBLIOTECA	YRUPE 6714		
BIBLIOTECA BRIGADIER GENERAL CORNELIO SAAVEDRA	BIBLIOTECA	LARRALDE, CRISOLOGO AV. 6293		
BIBLIOTECA CARLOS GUIDO Y SPANO	BIBLIOTECA	GUEMES 4601		
BIBLIOTECA CIRCE - BIBLIOTECA TESORO	BIBLIOTECA	CORDOBA AV. 1558		
BIBLIOTECA ENRIQUE BANCHS (INFANTO JUVENIL)	BIBLIOTECA	CASEROS AV. 3100		
BIBLIOTECA ESTANISLAO DEL CAMPO	BIBLIOTECA	DE LAS ARTES 1210		
BIBLIOTECA EVARISTO CARRIEGO	BIBLIOTECA	HONDURAS 3784		
BIBLIOTECA HILARIO ASCASUBI	BIBLIOTECA	DIAZ, CESAR, GRAL. 4219		
BIBLIOTECA JAVIER VILLAFAÑE (CON ANEXO INFANTIL)	BIBLIOTECA	JANER, ANA MARIA Y TORRES Y TENORIO, PRES.		
BIBLIOTECA JOAQUIN V. GONZALEZ (CON ANEXO INFANTIL)	BIBLIOTECA	SUAREZ 408		
BIBLIOTECA JOSE HERNANDEZ	BIBLIOTECA	BOQUERON 6753		
BIBLIOTECA JOSE MARMOL	BIBLIOTECA	JURAMENTO 2937		
BIBLIOTECA JULIO CESAR SAGUIER (CON ANEXO INFANTIL)	BIBLIOTECA	DELLEPIANE, LUIS, TTE. GRAL. 4801		
BIBLIOTECA JULIO CORTAZAR / CASA DE LA LECTURA	BIBLIOTECA	LAVALLEJA 924		
BIBLIOTECA LA PRENSA	BIBLIOTECA	PAZ, JOSE C. 3300		
BIBLIOTECA REINA BATATA (INFANTO JUVENIL)	BIBLIOTECA	11 DE SEPTIEMBRE DE 1888 Y LA PAMPA		
BIBLIOTECA LEOPOLDO LUGONES	BIBLIOTECA	LA PAMPA 2215		
BIBLIOTECA MANUEL GALVEZ	BIBLIOTECA	CORDOBA AV. 1558		
BIBLIOTECA MARIANO PELLIZA	BIBLIOTECA	CRANWELL 819		
BIBLIOTECA MARTIN DEL BARCO CENTENERA (CON ANEXO DE GENERO)	BIBLIOTECA	VENEZUELA 1538		
BIBLIOTECA MIGUEL CANE (CON ANEXO INFANTIL)	BIBLIOTECA	CALVO, CARLOS AV. 4319		
BIBLIOTECA NORAH LANGE	BIBLIOTECA	FERNANDEZ DE LA CRUZ, F., GRAL. AV. Y ESCALADA AV.		
BIBLIOTECA RAFAEL OBLIGADO	BIBLIOTECA	CRAINQUEVILLE 2233		
BIBLIOTECA RICARDO GUIRALDES	BIBLIOTECA	TALCAHUANO 1261		
CASA DE LA LECTURA - ESPACIO CULTURAL	BIBLIOTECA	LAVALLEJA 924		
CASA DE LA CULTURA	CENTRO CULTURAL	DE MAYO AV. 575		
CENTRO CULTURAL ALBERTO OLMEDO	CENTRO CULTURAL	VIALE, LUIS 1052		
CENTRO CULTURAL ALFONSINA STORNI	CENTRO CULTURAL	TUCUMAN 3233		
CENTRO CULTURAL BALDOMERO FERNANDEZ MORENO	CENTRO CULTURAL	MERCEDES 1405		
CENTRO CULTURAL GENERAL SAN MARTIN	CENTRO CULTURAL	SARMIENTO 1551		
CENTRO CULTURAL NUESTRA TIERRA	CENTRO CULTURAL	IRIARTE, GRAL. AV. Y MONTESQUIEU		
CENTRO CULTURAL RECOLETA	CENTRO CULTURAL	JUNIN 1930		
CENTRO CULTURAL TATO BORES	CENTRO CULTURAL	SOLER 3929		
COMPLEJO CULTURAL CHACRA DE LOS REMEDIOS	CENTRO CULTURAL	DIRECTORIO AV. Y LACARRA		
LA VIDRIERA DE LA DGEART	CENTRO CULTURAL	PERU 374		
USINA DEL ARTE	CENTRO CULTURAL	DON PEDRO DE MENDOZA AV. Y CAFFARENA, AGUSTIN R.		
CENTRO CULTURAL ADAN BUENOS AYRES	CENTRO CULTURAL	ASAMBLEA AV. 1200		
CENTRO CULTURAL ANIBAL TROILO	CENTRO CULTURAL	GORRITI 5740		
